METER,METERID,MONTH,PROFILE
153,31,JUL,BD
110,12,MAR,DB
153,12,JUL,DB
48,31,JAN,BD
134,12,APR,DB
110,31,MAR,BD
238,12,DEC,DB
198,12,NOV,DB
172,12,OCT,DB
198,41,NOV,DA
48,12,JAN,DB
110,41,MAR,DA
153,31,AVG,BD
79,12,FEB,DB
238,41,DEC,DA
134,31,APR,BD
160,41,SEP,DA
160,31,SEP,BD
172,31,OCT,BD
48,41,JAN,DA
153,41,JUL,DA
153,41,MAY,DA
238,31,DEC,BD
153,41,JUN,DA
153,31,MAY,BD
153,12,AVG,DB
79,41,FEB,DA
153,12,MAY,DB
134,41,APR,DA
79,31,FEB,BD
160,12,SEP,DB
172,41,OCT,DA
153,31,JUN,BD
153,12,JUN,DB
153,41,AVG,DA
198,31,NOV,BD
