METER,METERID,MONTH,PROFILE
160,34,SEP,ED
153,04,AVG,AB
153,34,MAY,ED
153,34,JUL,ED
79,33,FEB,AC
160,04,SEP,AB
134,04,APR,AB
48,34,JAN,ED
110,04,MAR,AB
198,33,NOV,AC
48,33,JAN,AC
79,34,FEB,ED
160,33,SEP,AC
153,34,JUN,ED
198,04,NOV,AB
172,04,OCT,AB
110,34,MAR,ED
238,33,DEC,AC
198,34,NOV,ED
238,34,DEC,ED
153,33,AVG,AC
153,33,JUL,AC
134,33,APR,AC
238,04,DEC,AB
153,04,JUN,AB
172,33,OCT,AC
153,04,MAY,AB
79,04,FEB,AB
153,34,AVG,ED
153,04,JUL,AB
134,34,APR,ED
172,34,OCT,ED
153,33,JUN,AC
48,04,JAN,AB
110,33,MAR,AC
153,33,MAY,AC
